Frame,TotalDetected,TotalMatched,FrameTime_ms,DetectTime_ms,MatchTime_ms
442,1000,18,663.801,382.044,19.558
443,1000,999,695.408,406.837,19.958
444,1000,26,693.276,396.525,25.276
445,1000,997,659.442,382.192,19.276
446,1000,998,680.618,401.142,19.920
447,1000,24,684.909,396.093,19.484
448,1000,994,672.427,396.150,21.172
449,1000,25,710.693,413.164,20.828
450,1000,487,699.294,409.313,19.574
451,1000,1000,676.296,392.277,20.290
452,1000,13,682.048,400.994,20.227
453,1000,991,684.294,397.296,21.000
454,1000,18,677.166,389.556,19.421
455,1000,983,684.979,404.831,22.486
456,1000,11,685.192,402.699,20.124
457,1000,972,680.339,395.321,22.941
458,1000,996,696.137,413.340,21.255
459,1000,20,695.779,410.982,21.177
460,1000,989,672.932,396.819,19.411
461,1000,14,685.437,403.032,19.886
462,1000,1000,664.691,386.030,20.956
463,1000,1000,661.463,384.749,19.198
464,1000,26,683.116,400.937,20.243
465,1000,991,690.758,410.612,19.468
466,1000,24,677.810,392.332,20.469
467,1000,1000,681.517,403.702,20.483
468,1000,10,677.607,393.122,19.781
469,1000,985,676.025,395.041,19.513
470,1000,1000,683.732,404.134,19.107
471,1000,24,680.276,398.445,19.385
472,1000,998,696.144,414.051,22.255
473,1000,28,677.933,399.937,20.668
474,1000,996,684.557,405.883,19.916
475,1000,1000,698.562,416.574,22.129
476,1000,33,678.125,395.505,20.711
477,1000,992,668.689,391.769,19.485
478,1000,19,675.143,396.001,19.924
479,1000,1000,682.149,392.813,20.156
480,1000,13,670.780,393.289,19.525
481,1000,999,683.621,404.885,20.272
482,1000,1000,676.001,396.054,21.956
483,1000,22,684.000,397.723,19.552
484,1000,1000,684.612,409.327,19.505
485,1000,7,686.236,402.981,19.689
486,1000,999,691.904,400.354,19.369
487,1000,1000,673.860,400.865,19.353
488,1000,29,688.839,402.885,22.069
489,1000,998,673.960,393.246,19.822
490,1000,22,677.934,395.409,19.489
491,1000,1000,674.765,398.112,19.548
492,1000,25,687.921,401.168,20.319
493,1000,1000,707.485,402.532,35.033
494,1000,1000,685.092,411.081,19.740
495,1000,28,694.490,400.336,23.174
496,1000,995,685.435,405.410,20.974
497,1000,16,687.985,403.740,20.711
498,1000,1000,693.395,416.957,20.750
499,1000,1000,680.621,402.066,19.885
500,1000,26,711.160,402.859,23.188
501,1000,999,689.972,412.061,20.032
502,1000,25,698.550,416.114,22.078
503,1000,1000,686.969,405.771,21.218
504,1000,21,684.729,399.368,21.996
505,1000,999,678.653,397.791,22.167
506,1000,998,687.091,410.964,19.673
507,1000,13,684.357,399.872,19.561
508,1000,996,691.797,416.169,19.348
509,1000,18,695.683,411.074,19.478
510,1000,538,668.049,391.614,19.744
511,1000,999,681.089,398.365,22.439
512,1000,54,691.338,405.380,20.498
513,1000,992,689.667,410.362,19.337
514,1000,32,683.459,400.137,19.349
515,1000,999,709.715,431.918,19.419
516,1000,14,695.019,411.275,22.524
517,1000,991,709.653,429.039,21.469
518,1000,1000,687.859,409.095,19.591
519,1000,24,691.259,408.119,19.262
520,1000,993,686.926,409.479,21.266
521,1000,18,682.416,401.541,19.340
522,1000,986,704.226,426.111,19.290
523,1000,997,699.316,415.274,20.738
524,1000,43,701.092,415.458,21.589
525,1000,976,689.463,409.338,19.375
526,1000,20,689.068,407.492,19.398
527,1000,988,687.857,412.584,21.478
528,1000,27,687.378,405.895,19.630
529,1000,979,711.243,430.495,22.819
530,1000,1000,678.132,399.657,19.828
531,1000,23,695.489,413.276,19.428
532,1000,992,682.595,403.005,20.235
533,1000,19,691.773,412.822,19.610
534,1000,998,681.687,403.287,20.095
535,1000,1000,685.982,410.885,19.195
536,1000,28,711.192,421.145,20.761
537,1000,986,689.088,409.810,19.323
538,1000,12,686.445,403.073,19.679
539,1000,995,695.574,416.257,20.149
540,1000,29,691.449,410.408,19.619
541,1000,1000,689.128,415.405,19.312
542,1000,1000,688.798,410.784,19.498
543,1000,27,720.717,423.260,20.067
544,1000,996,685.487,405.492,19.796
545,1000,22,694.876,413.961,19.335
546,1000,998,701.030,423.376,19.904
547,1000,1000,695.250,413.604,23.320
548,1000,34,693.565,413.033,19.335
549,1000,1000,690.427,411.793,19.817
550,1000,17,708.066,408.834,20.065
551,1000,1000,688.349,408.834,19.291
552,1000,24,689.145,410.425,19.456
