Frame,Cell0_Detected,Cell1_Detected,Cell2_Detected,Cell3_Detected,Cell0_Matched,Cell1_Matched,Cell2_Matched,Cell3_Matched,Cell0_ProcTime_ms,Cell1_ProcTime_ms,Cell2_ProcTime_ms,Cell3_ProcTime_ms
206,152,250,250,250,151,250,250,250,142.703,175.402,178.57,175.47
207,185,250,250,250,5,9,4,6,156.108,171.393,170.032,172.135
208,185,250,250,250,185,249,248,250,151.956,173.758,172.405,170.822
209,174,250,250,250,3,11,1,4,151.411,185.424,174.295,178.779
210,168,250,250,250,77,137,159,138,145.755,176.872,168.944,170.278
211,168,250,250,250,168,250,250,250,144.147,177.378,170.776,176.374
212,153,250,250,250,0,5,6,6,149.583,172.628,176.184,175.844
213,153,250,250,250,152,249,247,250,143.163,176.642,173.535,176.7
214,163,250,250,250,1,9,4,1,145.31,182.985,181.036,174.608
215,164,250,250,250,162,249,250,246,145.95,175.189,167.63,170.198
216,143,250,250,250,4,2,5,3,140.638,181.255,181.88,177.471
217,143,250,250,250,141,231,245,246,142.015,176.031,175.633,173.876
218,143,250,250,250,143,249,250,246,145.656,172.775,173.356,180.45
219,162,250,250,250,1,2,11,1,149.43,179.825,176.396,185.039
220,162,250,250,250,162,250,250,249,142.625,180.592,168.821,170.413
221,157,250,250,250,1,7,7,6,147.526,179.252,178.81,192.471
222,157,250,250,250,157,250,248,250,143.319,173.506,175.731,170.178
223,157,250,250,250,157,250,250,250,142.917,173.675,172.852,174.43
224,165,250,250,250,2,2,3,2,147.194,173.8,167.488,176.003
225,165,250,250,250,163,250,247,250,147.255,177.336,169.327,173.939
226,164,250,250,250,7,4,9,2,146.279,174.807,172.945,174.978
227,164,250,250,250,164,250,250,250,145.247,174.721,172.611,171.543
228,143,250,250,250,0,6,9,1,149.516,180.473,180.398,182.816
229,143,250,250,250,139,250,249,250,140.249,174.912,172.289,181.637
230,143,250,250,250,143,250,250,250,142.823,177.992,177.93,176.862
231,161,250,250,250,2,14,5,2,149.844,179.167,175.574,178.795
232,162,250,250,250,160,250,246,250,144.846,173.107,176.135,170.685
233,165,250,250,250,3,7,5,3,152.738,177.473,173.588,174.927
234,165,250,250,250,165,250,250,250,144.3,171.423,169.007,173.632
235,165,250,250,250,165,250,250,250,148.708,175.701,170.008,174.483
236,177,250,250,250,2,3,3,3,163.436,179.246,171.231,171.357
237,177,250,250,250,177,246,250,250,149.674,171.475,171.077,169.574
238,166,250,250,250,1,7,7,6,147.46,179.443,174.999,177.596
239,166,250,250,250,165,250,250,250,144.643,171.214,176.477,172.415
240,184,250,250,250,1,2,7,1,150.765,177.124,174.801,175.769
241,184,250,250,250,184,250,250,250,149.712,172.007,172.136,173.422
242,184,250,250,250,184,250,250,250,156.57,187.363,175.023,177.95
243,199,250,250,250,5,5,5,3,157.291,171.834,189.413,174.988
244,199,250,250,250,197,250,250,250,151.91,176.606,170.182,167.779
245,181,250,250,250,4,8,7,6,156.973,173.273,170.406,174.623
246,181,250,250,250,175,250,250,250,150.425,171.685,175.916,180.097
247,181,250,250,250,181,250,250,250,148.577,172.721,172.792,171.461
